id,label_str,pred_str,p_A,label_num
0,B,A,0.65135491,0
1,A,B,0.36296922,1
2,A,B,0.48438010,1
3,B,A,0.59266663,0
4,B,A,0.50000000,0
5,A,A,0.54673815,1
6,A,B,0.40733343,1
7,A,A,0.54673815,1
8,B,B,0.43782350,0
9,A,A,0.57749540,1
10,A,B,0.22270015,1
11,B,A,0.67917871,0
12,B,B,0.29421496,0
13,B,A,0.69264197,0
14,A,A,0.57749540,1
15,B,A,0.50000000,0
16,B,B,0.48438010,0
17,B,B,0.40733343,0
18,B,A,0.50000000,0
19,A,A,0.73105854,1
20,B,B,0.46879065,0
21,B,B,0.37754068,0
22,A,A,0.62245935,1
23,B,A,0.56217653,0
24,A,A,0.53120941,1
25,B,B,0.43782350,0
26,A,A,0.56217653,1
27,B,A,0.51561993,0
28,B,B,0.42250463,0
29,B,B,0.45326188,0
30,A,B,0.48438010,1
31,B,B,0.43782350,0
32,A,A,0.62245935,1
33,A,A,0.50000000,1
34,A,A,0.50000000,1
35,B,B,0.32082132,0
36,B,A,0.54673815,0
37,A,B,0.23370634,1
38,B,B,0.40733343,0
39,B,A,0.50000000,0
40,B,A,0.63703084,0
41,B,A,0.50000000,0
42,A,A,0.53120941,1
43,B,B,0.40733343,0
44,B,B,0.46879065,0
45,B,B,0.45326188,0
46,A,A,0.70578504,1
47,A,A,0.70578504,1
48,B,B,0.36296922,0
49,B,A,0.62245935,0
