id,label_str,pred_str,p_A,label_num
0,A,A,0.99444515,1
1,A,A,0.63703084,1
2,B,A,0.99617553,0
3,B,B,0.05665243,0
4,B,A,0.95531917,0
5,B,B,0.40733343,0
6,B,A,0.81757444,0
7,B,A,0.98967183,0
8,B,A,0.63703084,0
9,A,A,0.95531917,1
10,B,B,0.00857748,0
11,B,A,0.98549646,0
12,B,B,0.12592277,0
13,A,A,0.99330717,1
14,A,A,0.99524480,1
15,A,A,0.53120941,1
16,A,A,0.92414182,1
17,B,B,0.48438010,0
18,B,A,0.60766321,0
19,B,B,0.13296424,0
20,A,B,0.10087861,1
21,A,A,0.91490096,1
22,B,A,0.99919587,0
23,B,A,0.98087597,0
24,B,A,0.89330941,0
25,A,B,0.22270015,1
26,B,B,0.00132502,0
27,B,A,0.77729988,0
28,B,A,0.88720459,0
29,A,A,0.88079703,1
30,B,A,0.59266663,0
31,A,A,0.99193794,1
32,B,B,0.01168726,0
33,A,A,0.97557688,1
34,A,A,0.97838473,1
35,B,B,0.00757724,0
36,A,B,0.02033235,1
37,A,A,0.53120941,1
38,A,A,0.67917871,1
39,A,A,0.50000000,1
40,B,B,0.14033625,0
41,B,B,0.34864515,0
42,B,A,0.92840880,0
43,B,A,0.69264197,0
44,B,A,0.69264197,0
45,A,B,0.00055278,1
46,A,A,0.60766321,1
47,B,B,0.34864515,0
48,B,B,0.00103223,0
49,A,A,0.85966372,1
