id,label_str,pred_str,p_A,label_num
0,B,B,0.45326188,0
1,A,A,0.57749540,1
2,A,B,0.48438010,1
3,B,A,0.65135491,0
4,A,A,0.59266663,1
5,B,B,0.40733343,0
6,B,A,0.81757444,0
7,B,B,0.45326188,0
8,B,B,0.14804719,0
9,A,B,0.33458945,1
10,B,B,0.28140560,0
11,A,A,0.63703084,1
12,B,B,0.43782350,0
13,A,B,0.32082132,1
14,A,B,0.36296922,1
15,B,A,0.51561993,0
16,A,B,0.46879065,1
17,A,B,0.46879065,1
18,B,A,0.78793120,0
19,A,A,0.60766321,1
20,B,B,0.17328820,0
21,A,A,0.63703084,1
22,A,B,0.39233685,1
23,A,B,0.46879065,1
24,B,A,0.82671177,0
25,B,A,0.69264197,0
26,B,B,0.42250463,0
27,B,B,0.45326188,0
28,B,B,0.48438010,0
29,A,A,0.51561993,1
30,A,B,0.25683200,1
31,A,A,0.66541058,1
32,A,A,0.54673815,1
33,B,B,0.26894143,0
34,B,A,0.65135491,0
35,A,A,0.50000000,1
36,A,A,0.65135491,1
37,B,B,0.45326188,0
38,A,A,0.56217653,1
39,A,B,0.37754068,1
