id,label_str,pred_str,p_A,label_num
0,B,A,0.54673815,0
1,B,B,0.01243165,0
2,B,B,0.08035747,0
3,A,B,0.00912564,1
4,B,A,0.94966936,0
5,B,A,0.51561993,0
6,B,A,0.51561993,0
7,B,B,0.30735803,0
8,A,B,0.01032815,1
9,B,B,0.04742587,0
10,A,B,0.34864515,1
11,B,A,0.89330941,0
12,A,B,0.45326188,1
13,B,B,0.22270015,0
14,B,B,0.01243165,0
15,B,A,0.54673815,0
16,A,A,0.89912134,1
17,B,B,0.02442309,0
18,A,A,0.63703084,1
19,B,B,0.10669060,0
20,B,B,0.30735803,0
21,B,A,0.95257413,0
22,B,B,0.15610491,0
23,A,A,0.60766321,1
24,A,A,0.65135491,1
25,A,A,0.65135491,1
26,A,B,0.46879065,1
27,A,B,0.07585818,1
28,B,B,0.45326188,0
29,B,A,0.59266663,0
30,A,A,0.69264197,1
31,A,A,0.54673815,1
32,B,A,0.77729988,0
33,A,A,0.96691406,1
34,A,A,0.87407720,1
35,A,B,0.30735803,1
36,B,B,0.00359360,0
37,A,B,0.43782350,1
38,B,B,0.09009299,0
39,A,B,0.11279540,1
