id,label_str,pred_str,p_A,label_num
0,B,B,0.37754068,0
1,A,B,0.23370634,1
2,A,B,0.36296922,1
3,B,A,0.51561993,0
4,A,A,0.73105854,1
5,B,B,0.26894143,0
6,B,A,0.84389514,0
7,B,A,0.70578504,0
8,B,A,0.67917871,0
9,B,A,0.63703084,0
10,A,A,0.79818678,1
11,B,A,0.78793120,0
12,A,A,0.59266663,1
13,A,A,0.53120941,1
14,B,B,0.36296922,0
15,B,A,0.88079703,0
16,A,A,0.60766321,1
17,A,A,0.51561993,1
18,A,A,0.53120941,1
19,B,B,0.28140560,0
20,A,B,0.11920292,1
21,A,B,0.46879065,1
22,B,B,0.42250463,0
23,A,A,0.62245935,1
24,A,B,0.32082132,1
25,A,A,0.56217653,1
26,A,B,0.25683200,1
27,B,A,0.50000000,0
28,B,A,0.87407720,0
29,B,A,0.66541058,0
30,A,B,0.33458945,1
31,B,B,0.33458945,0
32,B,A,0.65135491,0
33,B,B,0.39233685,0
34,B,A,0.65135491,0
35,B,A,0.56217653,0
36,A,A,0.81757444,1
37,A,A,0.82671177,1
38,B,A,0.63703084,0
39,A,B,0.43782350,1
