id,label_str,pred_str,p_A,label_num
0,A,A,0.67917871,1
1,B,A,0.56217653,0
2,A,A,0.70578504,1
3,B,A,0.60766321,0
4,A,B,0.43782350,1
5,B,B,0.34864515,0
6,B,B,0.40733343,0
7,A,A,0.66541058,1
8,A,B,0.42250463,1
9,A,B,0.48438010,1
10,B,A,0.69264197,0
11,B,A,0.62245935,0
12,A,A,0.50000000,1
13,A,A,0.70578504,1
14,A,A,0.60766321,1
15,A,A,0.51561993,1
16,A,A,0.71859437,1
17,A,A,0.63703084,1
18,A,A,0.67917871,1
19,A,A,0.56217653,1
20,B,A,0.53120941,0
21,B,B,0.48438010,0
22,B,A,0.59266663,0
23,A,A,0.57749540,1
24,A,A,0.66541058,1
25,A,A,0.65135491,1
26,B,A,0.56217653,0
27,A,A,0.56217653,1
28,A,A,0.70578504,1
29,A,A,0.54673815,1
30,B,A,0.50000000,0
31,B,A,0.54673815,0
32,B,B,0.48438010,0
33,A,A,0.56217653,1
34,A,B,0.40733343,1
35,A,A,0.70578504,1
36,A,B,0.48438010,1
37,B,A,0.54673815,0
38,A,A,0.71859437,1
39,A,A,0.74316794,1
