id,label_str,pred_str,p_A,label_num
0,B,A,0.53120941,0
1,A,B,0.42250463,1
2,A,B,0.43782350,1
3,B,B,0.15610491,0
4,B,A,0.54673815,0
5,A,B,0.36296922,1
6,A,A,0.66541058,1
7,B,B,0.33458945,0
8,A,B,0.14804719,1
9,A,A,0.56217653,1
10,B,A,0.63703084,0
11,B,A,0.56217653,0
12,A,A,0.75491500,1
13,B,B,0.34864515,0
14,B,A,0.51561993,0
15,A,B,0.34864515,1
16,A,A,0.50000000,1
17,B,B,0.34864515,0
18,B,A,0.54673815,0
19,A,A,0.51561993,1
20,B,B,0.40733343,0
21,A,A,0.65135491,1
22,A,A,0.74316794,1
23,B,B,0.30735803,0
24,A,A,0.76629364,1
25,B,B,0.39233685,0
26,A,B,0.30735803,1
27,A,A,0.57749540,1
28,B,B,0.37754068,0
29,B,A,0.87407720,0
30,A,A,0.51561993,1
31,A,A,0.63703084,1
32,A,A,0.57749540,1
33,A,B,0.42250463,1
34,B,B,0.42250463,0
35,A,B,0.22270015,1
36,A,B,0.39233685,1
37,B,A,0.54673815,0
38,A,A,0.56217653,1
39,B,A,0.57749540,0
