id,label_str,pred_str,p_A,label_num
0,A,B,0.00000001,1
1,A,A,0.99781728,1
2,B,B,0.00000000,0
3,A,A,0.99999905,1
4,B,B,0.03963884,0
5,A,B,0.00000001,1
6,A,A,0.99998927,1
7,A,A,0.99999952,1
8,B,B,0.00000061,0
9,B,B,0.00000155,0
10,A,B,0.01243165,1
11,A,B,0.00014884,1
12,A,B,0.00000010,1
13,B,B,0.02161533,0
14,B,B,0.00000256,0
15,A,A,0.99998105,1
16,B,B,0.00000086,0
17,B,A,0.99987662,0
18,A,A,1.00000000,1
19,A,B,0.00016865,1
20,A,A,0.99999917,1
21,B,B,0.00001222,0
22,B,B,0.11920292,0
23,A,B,0.00232316,1
24,B,A,0.99539042,0
25,B,A,0.99883050,0
26,B,B,0.00000001,0
27,A,B,0.00000000,1
28,B,B,0.00407014,0
29,B,A,1.00000000,0
30,A,B,0.00317268,1
31,B,A,0.99999964,0
32,B,A,0.97838473,0
33,A,B,0.29421496,1
34,B,B,0.02931223,0
35,A,B,0.00000017,1
36,A,A,0.99999952,1
37,A,B,0.02033235,1
38,B,A,0.96691406,0
39,B,B,0.00000000,0
40,B,B,0.00000014,0
41,A,B,0.00247262,1
42,A,A,1.00000000,1
43,B,B,0.00000696,0
44,B,B,0.00000894,0
45,A,A,1.00000000,1
46,A,A,1.00000000,1
47,B,B,0.00912564,0
48,A,A,0.99408901,1
49,A,B,0.04742587,1
