id,label_str,pred_str,p_A,label_num
0,A,A,0.66541058,1
1,A,A,0.65135491,1
2,A,A,0.66541058,1
3,B,A,0.57749540,0
4,B,A,0.51561993,0
5,B,A,0.62245935,0
6,A,A,0.53120941,1
7,B,B,0.48438010,0
8,B,A,0.67917871,0
9,B,A,0.59266663,0
10,A,A,0.60766321,1
11,B,B,0.42250463,0
12,B,B,0.24508502,0
13,B,A,0.62245935,0
14,A,A,0.53120941,1
15,A,A,0.76629364,1
16,B,B,0.25683200,0
17,A,B,0.46879065,1
18,B,B,0.34864515,0
19,A,A,0.59266663,1
20,A,A,0.75491500,1
21,A,A,0.76629364,1
22,B,B,0.34864515,0
23,B,B,0.16451645,0
24,A,B,0.17328820,1
25,B,B,0.29421496,0
26,B,A,0.51561993,0
27,A,A,0.59266663,1
28,A,A,0.63703084,1
29,B,B,0.48438010,0
30,B,A,0.54673815,0
31,A,B,0.48438010,1
32,B,A,0.54673815,0
33,B,A,0.51561993,0
34,B,A,0.84389514,0
35,A,B,0.43782350,1
36,B,B,0.34864515,0
37,A,B,0.48438010,1
38,A,B,0.45326188,1
39,B,B,0.24508502,0
