id,label_str,pred_str,p_A,label_num
0,A,B,0.45326188,1
1,A,B,0.43782350,1
2,A,B,0.48438010,1
3,B,A,0.69264197,0
4,B,B,0.42250463,0
5,B,B,0.42250463,0
6,A,B,0.37754068,1
7,A,A,0.53120941,1
8,A,A,0.51561993,1
9,B,B,0.34864515,0
10,B,B,0.46879065,0
11,A,A,0.57749540,1
12,B,A,0.50000000,0
13,A,B,0.45326188,1
14,B,A,0.59266663,0
15,A,A,0.57749540,1
16,B,B,0.46879065,0
17,A,A,0.54673815,1
18,B,B,0.46879065,0
19,A,A,0.80806720,1
20,B,B,0.40733343,0
21,A,A,0.50000000,1
22,B,B,0.42250463,0
23,B,B,0.40733343,0
24,B,B,0.24508502,0
25,A,B,0.48438010,1
26,A,B,0.43782350,1
27,A,A,0.53120941,1
28,A,A,0.59266663,1
29,B,A,0.57749540,0
30,B,B,0.40733343,0
31,B,B,0.42250463,0
32,A,B,0.37754068,1
33,B,B,0.45326188,0
34,B,B,0.42250463,0
35,B,A,0.60766321,0
36,A,B,0.39233685,1
37,A,A,0.79818678,1
38,A,B,0.29421496,1
39,A,B,0.40733343,1
40,A,B,0.48438010,1
41,B,B,0.40733343,0
42,A,A,0.56217653,1
43,A,A,0.56217653,1
44,B,B,0.25683200,0
45,B,A,0.51561993,0
46,B,B,0.34864515,0
47,A,A,0.50000000,1
48,A,A,0.50000000,1
49,B,B,0.46879065,0
