id,label_str,pred_str,p_A,label_num
0,B,B,0.30735803,0
1,B,A,0.63703084,0
2,B,B,0.14033625,0
3,B,B,0.33458945,0
4,A,A,0.62245935,1
5,A,B,0.03963884,1
6,B,A,0.54673815,0
7,A,B,0.46879065,1
8,B,B,0.21206881,0
9,B,A,0.56217653,0
10,A,A,0.62245935,1
11,A,B,0.29421496,1
12,A,A,0.80806720,1
13,A,A,0.54673815,1
14,B,B,0.28140560,0
15,B,B,0.20181322,0
16,A,B,0.39233685,1
17,B,A,0.53120941,0
18,B,B,0.43782350,0
19,A,B,0.32082132,1
20,A,B,0.37754068,1
21,B,A,0.71859437,0
22,B,A,0.69264197,0
23,A,B,0.43782350,1
24,A,A,0.53120941,1
25,A,A,0.74316794,1
26,B,B,0.34864515,0
27,B,B,0.26894143,0
28,B,B,0.28140560,0
29,B,B,0.21206881,0
30,A,B,0.30735803,1
31,A,A,0.57749540,1
32,A,B,0.29421496,1
33,A,A,0.84389514,1
34,B,A,0.79818678,0
35,A,A,0.56217653,1
36,A,A,0.69264197,1
37,B,A,0.62245935,0
38,B,A,0.57749540,0
39,A,B,0.32082132,1
40,B,B,0.20181322,0
41,B,B,0.43782350,0
42,B,A,0.71859437,0
43,B,A,0.94659668,0
44,B,B,0.28140560,0
45,B,A,0.60766321,0
46,B,B,0.46879065,0
47,A,A,0.59266663,1
48,B,B,0.43782350,0
49,A,A,0.54673815,1
