id,label_str,pred_str,p_A,label_num
0,A,A,0.99509466,1
1,B,B,0.00000089,0
2,A,A,0.56217653,1
3,A,A,0.99993396,1
4,A,B,0.00000027,1
5,B,B,0.00000049,0
6,B,B,0.00000509,0
7,B,B,0.00006605,0
8,A,A,0.98308510,1
9,B,B,0.00000001,0
10,A,B,0.00000894,1
11,B,B,0.00000021,0
12,A,A,0.99995458,1
13,B,A,0.91490096,0
14,B,A,0.99999917,0
15,A,B,0.00000011,1
16,A,B,0.00000006,1
17,B,A,0.99999988,0
18,B,A,0.99991512,0
19,A,B,0.02297737,1
20,B,B,0.00000017,0
21,B,B,0.00011235,0
22,B,B,0.00000028,0
23,A,B,0.00124484,1
24,B,B,0.00000067,0
25,A,A,0.99999905,1
26,A,A,0.99509466,1
27,A,A,0.88079703,1
28,B,A,1.00000000,0
29,B,B,0.00029596,0
30,A,B,0.37754068,1
31,B,B,0.01406363,0
32,A,A,0.99959558,1
33,A,A,1.00000000,1
34,A,A,1.00000000,1
35,A,A,0.99999726,1
36,B,A,0.99999988,0
37,A,A,0.99999988,1
38,A,B,0.00124484,1
39,B,B,0.00000049,0
40,A,A,0.99999988,1
41,B,B,0.00000023,0
42,A,A,0.99682730,1
43,B,B,0.00000004,0
44,B,B,0.00000006,0
45,B,B,0.00000035,0
46,B,B,0.00000001,0
47,A,B,0.00000000,1
48,A,B,0.00000007,1
49,A,A,0.99999952,1
