id,label_str,pred_str,p_A,label_num
0,A,A,0.99919587,1
1,A,B,0.06754670,1
2,B,A,0.99444515,0
3,B,B,0.39233685,0
4,A,B,0.00192673,1
5,A,A,0.57749540,1
6,B,B,0.11920292,0
7,B,A,0.62977463,0
8,A,A,0.98756832,1
9,B,B,0.00016865,0
10,B,B,0.39233685,0
11,B,A,0.99142247,0
12,B,B,0.02595736,0
13,A,A,0.81757444,1
14,A,A,0.90990698,1
15,A,A,0.98504293,1
16,A,A,0.90465051,1
17,B,B,0.01243165,0
18,B,B,0.09534946,0
19,A,A,0.99919587,1
20,B,B,0.03308598,0
21,B,B,0.21206881,0
22,A,A,0.99509466,1
23,B,B,0.02595736,0
24,A,B,0.03514485,1
25,B,A,0.56217653,0
26,B,B,0.02931223,0
27,A,A,0.88720459,1
28,A,B,0.20181322,1
29,B,B,0.01168726,0
30,A,B,0.10669060,1
31,A,A,0.99919587,1
32,B,B,0.20181322,0
33,B,A,0.97702265,0
34,A,A,0.99029154,1
35,B,B,0.14804719,0
36,B,B,0.22270015,0
37,A,A,0.99592990,1
38,B,B,0.00263167,0
39,B,B,0.21206881,0
