id,label_str,pred_str,p_A,label_num
0,A,B,0.22270015,1
1,A,B,0.16451645,1
2,A,A,0.65135491,1
3,B,B,0.40733343,0
4,A,B,0.33458945,1
5,B,A,0.66541058,0
6,B,A,0.59266663,0
7,A,B,0.14033625,1
8,B,B,0.37754068,0
9,A,B,0.43782350,1
10,A,A,0.71859437,1
11,A,A,0.74316794,1
12,A,A,0.56217653,1
13,A,B,0.08509904,1
14,A,A,0.79818678,1
15,B,B,0.16451645,0
16,B,B,0.05665243,0
17,A,B,0.40733343,1
18,A,B,0.00080409,1
19,B,B,0.14033625,0
20,A,B,0.25683200,1
21,A,A,0.79818678,1
22,A,A,0.79818678,1
23,B,B,0.01322282,0
24,B,B,0.06754670,0
25,B,B,0.12592277,0
26,A,B,0.22270015,1
27,B,B,0.11279540,0
28,A,B,0.36296922,1
29,A,A,0.92414182,1
30,B,B,0.04742587,0
31,A,A,0.74316794,1
32,A,B,0.05033063,1
33,B,B,0.03114383,0
34,B,B,0.24508502,0
35,A,B,0.19193280,1
36,B,A,0.53120941,0
37,A,A,0.97068775,1
38,B,B,0.00023051,0
39,A,A,0.91964257,1
