id,label_str,pred_str,p_A,label_num
0,B,B,0.00000422,0
1,A,A,0.98087597,1
2,A,B,0.00000176,1
3,A,A,0.81757444,1
4,A,B,0.00000000,1
5,A,B,0.00000002,1
6,B,A,0.99999940,0
7,B,B,0.48438010,0
8,A,A,0.94659668,1
9,A,B,0.00000065,1
10,B,B,0.00000155,0
11,B,B,0.00000001,0
12,B,B,0.00014884,0
13,B,A,0.99999881,0
14,A,A,0.99999976,1
15,B,A,0.99924457,0
16,B,A,1.00000000,0
17,B,A,0.99999213,0
18,A,B,0.00000000,1
19,B,A,1.00000000,0
20,A,A,1.00000000,1
21,A,B,0.00628990,1
22,A,B,0.00001222,1
23,B,B,0.00000003,0
24,B,B,0.00000000,0
25,A,A,0.99999988,1
26,B,A,0.99617553,0
27,A,A,0.95791227,1
28,A,A,0.70578504,1
29,B,B,0.00000256,0
30,B,B,0.00000226,0
31,B,B,0.00000155,0
32,B,B,0.00000000,0
33,A,B,0.00070967,1
34,B,A,1.00000000,0
35,B,B,0.00000000,0
36,B,B,0.00490541,0
37,A,A,0.99999893,1
38,A,A,1.00000000,1
39,B,B,0.00000009,0
