id,label_str,pred_str,p_A,label_num
0,A,B,0.00000325,1
1,A,A,1.00000000,1
2,A,A,0.99999905,1
3,B,B,0.00043056,0
4,B,B,0.05834584,0
5,A,B,0.00000000,1
6,A,A,0.99995458,1
7,A,B,0.00000000,1
8,B,B,0.00857748,0
9,A,A,0.99999976,1
10,A,B,0.34864515,1
11,B,B,0.00000436,0
12,A,A,0.99756563,1
13,B,A,0.69925439,0
14,B,A,0.81757444,0
15,B,A,0.97068775,0
16,A,B,0.00000000,1
17,B,B,0.00806199,0
18,B,A,1.00000000,0
19,A,A,1.00000000,1
20,A,A,0.99999976,1
21,B,B,0.00000001,0
22,A,B,0.00000004,1
23,A,A,0.99999976,1
24,B,A,0.99939287,0
25,A,B,0.00000000,1
26,A,B,0.00000000,1
27,B,A,0.91964257,0
28,B,A,0.91610962,0
29,A,B,0.00000061,1
30,A,B,0.00000000,1
31,A,B,0.00000100,1
32,A,B,0.00000000,1
33,B,B,0.00000542,0
34,B,B,0.00000114,0
35,B,B,0.00000052,0
36,A,B,0.00000151,1
37,B,A,0.99999666,0
38,B,A,0.99856746,0
39,A,B,0.00000001,1
40,B,A,0.91490096,0
41,B,A,0.99987662,0
42,A,B,0.00000000,1
43,B,B,0.00000000,0
44,A,B,0.00000741,1
45,A,A,0.99997854,1
46,B,B,0.00000000,0
47,A,A,0.99883050,1
48,B,B,0.00000000,0
49,B,A,0.99566853,0
