id,label_str,pred_str,p_A,label_num
0,B,A,0.69264197,0
1,A,A,0.54673815,1
2,A,A,0.54673815,1
3,B,A,0.75491500,0
4,B,B,0.45326188,0
5,B,A,0.51561993,0
6,B,A,0.66541058,0
7,B,A,0.51561993,0
8,A,A,0.77729988,1
9,A,A,0.59266663,1
10,A,A,0.59266663,1
11,B,A,0.59266663,0
12,B,A,0.62245935,0
13,A,A,0.53120941,1
14,B,A,0.57749540,0
15,A,A,0.60766321,1
16,B,A,0.84389514,0
17,A,A,0.54673815,1
18,B,A,0.70578504,0
19,A,A,0.56217653,1
20,A,A,0.66541058,1
21,A,A,0.56217653,1
22,B,B,0.48438010,0
23,A,A,0.54673815,1
24,B,A,0.60766321,0
25,B,A,0.69264197,0
26,A,A,0.67917871,1
27,B,B,0.46879065,0
28,B,A,0.53120941,0
29,B,A,0.59266663,0
30,A,A,0.75491500,1
31,B,A,0.59266663,0
32,A,A,0.62245935,1
33,A,A,0.56217653,1
34,A,A,0.65135491,1
35,B,A,0.71859437,0
36,B,B,0.46879065,0
37,A,A,0.75491500,1
38,A,A,0.57749540,1
39,A,A,0.76629364,1
